"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_lambda1"
0.0571041905021082 0.113508783141338 0.107340815158965 0.49737650016868
0.0550463746441348 0.118619698672991 0.102241490302653 0.746461396750901
0.0530822179156617 0.102270966972366 0.120975723606579 0.547965797613563
0.0457013094965928 0.0938244605695635 0.115812963362034 0.576235186934956
0.0462396535254617 0.0935668202898418 0.114797736394159 0.574810641488246
0.0494272136407545 0.112946154078707 0.0947553046482674 1.15881466243073
0.0535956685624819 0.109873801355298 0.123189013285158 0.674394328364177
0.0617062342030197 0.113108428833149 0.116492267321662 0.459798726751761
0.0522792376322263 0.109874008363559 0.109582812875133 0.771412482254726
0.0508206405891198 0.102919043527706 0.11898812068534 0.553985439124128
0.048285308376507 0.105624945898012 0.107630132912924 1.24682145477763
0.06131130843642 0.114724121263738 0.109496210663059 0.404148729786539
0.0551079907724538 0.109563467557459 0.106984722074211 0.42788010573671
0.0513912284308611 0.110647254933133 0.106975867655978 0.721623888608328
0.0533927211868842 0.105187155602407 0.111418672135326 0.53853867866579
0.0420099194568941 0.089194729853294 0.129406961047428 0.892860927903422
0.0501702519189149 0.102737053854781 0.118997446703881 0.700023259715048
0.0562771013582163 0.108821069999617 0.116575144717272 0.482891176335238
0.0547184212407613 0.11210306796137 0.113723813131491 0.530421952134329
0.0442474935789242 0.102761752089516 0.105000958943812 3.07634184542258
0.0557201611256944 0.116925415384139 0.101438175290833 0.516552912821254
0.0430549688336155 0.0895386126846123 0.118871425590141 0.700584584964616
0.0536553005400151 0.114583399716705 0.0997496983465317 0.591693884895792
0.0554210334566883 0.114303657298463 0.103092628120421 0.496025441029748
0.0600045990018677 0.110993859092797 0.116672889856213 0.421593837038759
0.0411919621397528 0.0835154719271622 0.116612895028608 0.598180735004769
0.0509184533872987 0.105515812413054 0.107792782004232 0.511555039680485
0.0448731080948348 0.0873361931930675 0.11927656338786 0.508740885433194
0.0486527467858807 0.0946136323137147 0.119785065837386 0.546634042234075
0.0501833116372788 0.115287328585598 0.0981854973784027 1.05951875203124
0.0563893542773924 0.115496893052966 0.106181183444346 0.473869247628688
0.0536365161027902 0.11770499091433 0.0997249783439096 0.778112638019005
0.0623152527078357 0.126589318669099 0.111809575363658 0.692667143672595
0.0517063580187027 0.117183876002494 0.0916041962168274 0.955096025192356
0.0572253972202703 0.107022233867849 0.109923329728496 0.462750503937113
0.0473503618904691 0.105096064760366 0.0959557442092154 0.609627126473851
0.059442669897993 0.114478952029157 0.103877293630318 0.421977479118042
0.0500813610442246 0.111325772068599 0.10779193121443 0.636560453967666
0.0549972438112988 0.10900998159805 0.115863106025958 0.49454859596721
0.0449970696183795 0.0947302382108774 0.113878058490581 0.565079936781021
0.0415978652449752 0.0919360015460056 0.102885110853855 0.627779168918942
0.0495585813537188 0.111416073340352 0.101343052986931 0.722757760336987
0.0455809136272995 0.103283737461233 0.100700586493902 1.02119251625301
