"se_MLE_beta1" "se_MLE_beta2" "se_MLE_beta3" "se_MLE_gama1" "se_MLE_gama2" "se_MLE_gama3" "se_MLE_lambda1" "se_MLE_lambda2"
0.214993884269009 0.432972712520384 0.189113676313579 0.433538824186239 0.651933766786873 0.291865261173822 1.11360366528941 1.41820914737742
0.206532710102832 0.411407481533347 0.184825856295424 0.364086957688331 0.624092778529117 0.316480929758724 0.984574565348121 1.28395059318063
0.207928107427747 0.481867662722789 0.191755626283436 0.424796468703164 0.540154503750274 0.333650431338999 1.00263760528456 1.27164821229666
0.253778782739057 0.392186324545168 0.231728128251105 0.416553747635454 0.550468349275777 0.346129054533331 1.38335666282013 1.88310422492734
0.188104779079444 0.369840515292417 0.171190315151057 0.396156500060264 0.617695296709088 0.279814496537277 1.3698160113971 1.9224729602055
0.278043320471443 0.571848448078127 0.239768842960308 0.317325662201253 0.46191720026263 0.27810253612089 0.735022410826382 1.02533369463081
0.186944952383428 0.370967802719292 0.167913392471891 0.502593573454114 0.701932203329388 0.305270081521564 2.56149287748505 3.48388102341508
0.149102790789541 0.356645974458059 0.136048163612871 0.39766494209048 0.556858451457506 0.287615071588049 1.26130091958131 1.44725358507227
0.12568253274337 0.337606220293278 0.111803166997071 0.319786923843234 0.45514036310125 0.262992928594977 1.77659464537747 2.11281763170997
0.243067994529139 0.331434440493171 0.229421285109624 0.36664894737962 0.496322805896627 0.30096337230636 1.67018216273866 2.39283291088006
0.17885292135119 0.344301039735123 0.161172333595278 0.369344941894464 0.566829511344865 0.296538940229838 1.18797953654872 1.76246968966551
0.213045538041181 0.439132840463528 0.194538824459959 0.327566490826169 0.483135133410329 0.288675229057729 1.1443778701342 1.48500283753709
0.196346871792332 0.467070380205959 0.176482617379352 0.506404382960784 0.749426431150653 0.284580184205519 1.10181290659047 1.54975647841802
0.199934142698794 0.463085570321745 0.209729166204576 0.514964319076259 0.608145512204947 0.325840305701973 1.16982294765023 1.72751957372856
0.17903194887773 0.434544881175444 0.165091390304789 0.439305557890229 0.657607471076104 0.308481812985681 1.03682427111888 1.31821987385909
0.318462912450834 0.399384268701562 0.274684823087758 0.569975508728019 0.627084409988277 0.414127249367518 1.26650577374688 2.08456773860303
0.214305528333347 0.36113972271208 0.196412689644445 0.346540598140971 0.530217269719769 0.302646763507159 1.01619117911505 2.0925414370061
0.205785362866101 0.308859479527989 0.186843668970896 0.318196684211639 0.482880982802116 0.301043369983495 1.82021148623421 2.00290104916277
0.181548874797793 0.398607687304924 0.161335353985344 0.378794015972155 0.471767958305735 0.388265891177443 1.62692938925162 1.97835167201371
0.232723399204687 0.310846040363901 0.197526207916476 0.322012341404227 0.587702698964301 0.321485654046807 1.01628087212084 1.49220003725783
0.23488656910384 0.43979558594846 0.207618310413032 0.441736702621593 0.750865862806474 0.30834219738278 1.3463826200031 1.75579344112117
0.190232102403838 0.422366804135972 0.182531447262548 0.389674744966236 0.492704254535248 0.350287826614193 1.30597785243542 1.71708483353337
0.262451809297862 0.489307262149984 0.208362384014995 0.325680417506152 0.480160356964892 0.293390535668527 1.25278866331305 1.76683158804046
0.222780325043705 0.40297424083218 0.202983080343358 0.338324273054796 0.485266321263033 0.27041856191858 1.27410196062949 1.72132865996354
0.376917289735563 0.555564552217279 0.306879159527709 0.555691293931228 0.695436309395488 0.390518337104556 1.01189755330516 1.62648535553859
0.200294393710946 0.408999536842656 0.164675043239363 0.352152791062747 0.484619574701135 0.449701563911868 1.9650995224755 2.34069790200068
0.220239102113528 0.328100207004408 0.191214638227386 0.358226933438854 0.48158209875239 0.272623597207318 1.04082567315987 1.64930645875312
0.239002063398358 0.474278512039307 0.201283776434746 0.337161461664611 0.490416022607563 0.305674015634579 1.061457009414 1.42476413485621
0.198451101848247 0.386980564228143 0.180692899972709 0.308291789408417 0.59010029305488 0.34564128597374 1.52608192721231 1.87488348059692
0.241033767092689 0.403905249549679 0.217591972648601 0.532680322873666 0.802792934219585 0.397024971828504 1.1917298194782 1.59114478652199
0.164012485086313 0.361201620706636 0.161648246781332 0.350245335919741 0.521243856452129 0.283262994262274 1.03244642325501 1.34889338620476
0.232332764628321 0.45399086745466 0.1964422519998 0.473066781768958 0.503733802580048 0.402050002873322 1.54959792288835 1.93740836758672
0.182976008265851 0.260905178579793 0.167493643534131 0.422225184588757 0.625843246413493 0.328142851870405 1.2354665444085 2.39963988009162
0.145457911416271 0.297575040857793 0.157345879311461 0.378641249991699 0.594081103838662 0.281631873118587 1.12625403533038 1.54115815035559
0.157819141876788 0.296127589813783 0.146966428135366 0.42669929666559 0.588147606774628 0.268812000439384 1.29803898590293 1.91863526852697
0.215963325714564 0.407970149682849 0.192662649580153 0.379251776664491 0.590204263025179 0.309926431834821 1.17442942308356 1.42175818782708
0.264478063071828 0.371398014587995 0.234398752881537 0.339045930789541 0.521924816260805 0.292604250841406 2.67191012178739 3.58704522082455
0.226926270797576 0.42392722305112 0.199614689740134 0.326306751182064 0.595763062950835 0.336499301962764 1.14830945502854 1.37546755542274
0.18098639613512 0.34522266535973 0.167251767254079 0.36387332843575 0.62814285547071 0.330621146330426 1.29018548407009 1.57896908134408
0.226729540264192 0.477781970435624 0.201209721240016 0.361033476747236 0.744394459420082 0.413697618851352 1.23557789128039 1.59489063888894
0.247160661317163 0.422646886292919 0.226237811068654 0.359592597390798 0.486412297105909 0.316254328305144 2.51355174758077 3.30720561738445
0.187103787169049 0.392479343229144 0.169679899869727 0.415041143614562 0.566751819847031 0.291836493577309 0.829477927564785 1.02566399686295
0.179641678217844 0.301478118578944 0.151312066418808 0.397439938473898 0.651032111794651 0.348577720493005 1.64938155694513 2.13137203685832
0.221132644131781 0.41714940297863 0.189106454977411 0.369905425181974 0.50634533090412 0.268592515855487 1.02630071103151 1.46791999857473
0.214058487565952 0.361767355153192 0.180523950707062 0.302108156699637 0.490417054030844 0.28724684566172 1.88242980300812 2.62130022234945
0.157621643575645 0.286054078731985 0.158942068780919 0.347899852312113 0.493148431630475 0.276379829040679 2.80042268506266 4.02463738954976
0.131207926490952 0.285572131802071 0.157395764087751 0.402184657439963 0.554926598931419 0.275477200683557 0.89454908412696 1.29571977747122
0.149822022242885 0.293678800964395 0.146801124861206 0.303732511660857 0.452372775819988 0.272767825379786 1.23859557469041 1.81662816590919
0.207359749370703 0.36640559657606 0.189117011363709 0.351847367840952 0.581202702147468 0.302743422320989 0.936511542364513 1.28080026300411
0.144093769630602 0.335731965173831 0.138899776199376 0.460943855712929 0.550600760135884 0.317955751575562 1.28054688338556 1.64947923359219
0.083088951334561 0.196180988256753 0.121042710166895 0.377003438692341 0.571513310996799 0.287451516537008 1.02400497710737 1.19210979587794
0.215637260294058 0.463517570434439 0.199765958674148 0.356812248795259 0.583946966819173 0.319611659752102 0.988290413724646 1.27904240292046
